zonal-monthly-mean surface air temperature from ERA5 

Reference for ERA5: Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N. (2023): ERA5 monthly averaged data on single levels from 1940 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS), DOI: 10.24381/cds.f17050d7 (Accessed on 28-02-2024) 
 
Latitude	0	1	2	3	4	5	6	7	8	9	10	11
-76.25	254.58	248.62	241.42	235.42	234.18	233.62	231.74	231.08	232.94	238.74	247.13	254.1
-76.0	255.0	249.15	242.07	236.03	234.77	234.21	232.36	231.74	233.59	239.31	247.59	254.51
-75.75	255.48	249.69	242.71	236.6	235.3	234.75	232.9	232.32	234.18	239.88	248.1	254.99
-75.5	255.87	250.14	243.24	237.11	235.78	235.22	233.38	232.85	234.71	240.37	248.53	255.38
-75.25	256.29	250.68	243.89	237.75	236.4	235.84	234.02	233.53	235.37	240.95	249.0	255.79
-75.0	256.68	251.2	244.54	238.35	236.98	236.4	234.6	234.14	235.96	241.46	249.42	256.16
-74.75	256.99	251.63	245.07	238.84	237.43	236.83	235.03	234.58	236.42	241.87	249.75	256.46
-74.5	257.26	252.01	245.55	239.29	237.84	237.22	235.4	234.97	236.82	242.23	250.05	256.72
-74.25	257.57	252.46	246.13	239.82	238.33	237.69	235.86	235.45	237.31	242.67	250.4	257.02
-74.0	257.98	253.04	246.85	240.5	238.96	238.29	236.45	236.07	237.93	243.23	250.86	257.43
-73.75	258.45	253.67	247.63	241.21	239.63	238.92	237.07	236.71	238.58	243.82	251.37	257.89
-73.5	258.83	254.18	248.29	241.85	240.24	239.49	237.62	237.28	239.16	244.34	251.82	258.29
-73.25	259.26	254.7	248.94	242.52	240.85	240.05	238.19	237.88	239.76	244.9	252.3	258.72
-73.0	259.58	255.11	249.51	243.16	241.37	240.51	238.64	238.36	240.24	245.34	252.68	259.04
-72.75	259.94	255.6	250.18	243.91	242.01	241.11	239.24	238.96	240.82	245.85	253.1	259.4
-72.5	260.42	256.2	250.96	244.74	242.78	241.83	239.97	239.68	241.53	246.47	253.64	259.87
-72.25	260.94	256.84	251.75	245.59	243.58	242.55	240.7	240.41	242.25	247.14	254.23	260.4
-72.0	261.47	257.48	252.55	246.47	244.39	243.27	241.42	241.13	242.96	247.8	254.83	260.94
-71.75	262.0	258.14	253.42	247.43	245.3	244.07	242.21	241.91	243.72	248.49	255.44	261.47
-71.5	262.5	258.78	254.23	248.31	246.15	244.85	242.97	242.66	244.44	249.16	256.04	261.98
-71.25	262.99	259.39	254.98	249.09	246.91	245.51	243.62	243.32	245.08	249.77	256.6	262.47
-71.0	263.39	259.9	255.65	249.83	247.68	246.06	244.15	243.84	245.61	250.27	257.08	262.89
-70.75	263.77	260.41	256.31	250.56	248.43	246.62	244.68	244.37	246.13	250.78	257.55	263.29
-70.5	264.2	260.96	257.03	251.26	249.14	247.2	245.25	244.93	246.69	251.31	258.04	263.71
-70.25	264.65	261.54	257.77	252.01	249.88	247.84	245.87	245.56	247.31	251.88	258.55	264.15
-70.0	265.13	262.2	258.62	252.94	250.78	248.6	246.6	246.3	248.03	252.53	259.12	264.64
-69.75	265.64	262.9	259.53	253.94	251.75	249.43	247.39	247.11	248.81	253.23	259.73	265.16
-69.5	266.12	263.51	260.29	254.76	252.56	250.16	248.11	247.84	249.53	253.88	260.29	265.64
-69.25	266.56	264.08	260.99	255.56	253.36	250.91	248.82	248.54	250.21	254.5	260.84	266.08
-69.0	267.04	264.71	261.76	256.51	254.27	251.78	249.57	249.29	250.94	255.16	261.42	266.55
-68.75	267.51	265.3	262.48	257.41	255.15	252.62	250.29	249.99	251.63	255.8	262.0	267.01
-68.5	267.98	265.9	263.2	258.23	255.98	253.41	251.02	250.71	252.35	256.46	262.58	267.48
-68.25	268.48	266.53	263.93	259.06	256.83	254.24	251.83	251.49	253.11	257.16	263.19	267.98
-68.0	269.02	267.19	264.71	260.03	257.82	255.18	252.74	252.32	253.91	257.89	263.84	268.49
-67.75	269.56	267.87	265.5	260.99	258.79	256.1	253.64	253.13	254.71	258.63	264.49	269.01
-67.5	270.07	268.51	266.26	261.79	259.61	256.9	254.44	253.91	255.47	259.33	265.1	269.51
-67.25	270.52	269.1	266.96	262.54	260.39	257.65	255.19	254.64	256.19	259.98	265.66	269.95
-67.0	270.95	269.67	267.65	263.38	261.27	258.44	255.99	255.4	256.9	260.61	266.2	270.36
-66.75	271.39	270.27	268.39	264.27	262.19	259.27	256.82	256.18	257.62	261.26	266.74	270.78
-66.5	271.78	270.82	269.09	264.97	262.91	259.93	257.5	256.83	258.26	261.83	267.21	271.16
-66.25	272.07	271.25	269.64	265.56	263.49	260.47	258.05	257.38	258.79	262.31	267.59	271.45
-66.0	272.32	271.62	270.14	266.24	264.2	261.17	258.7	257.99	259.35	262.79	267.95	271.69
-65.75	272.49	271.9	270.55	266.82	264.79	261.76	259.23	258.51	259.83	263.2	268.24	271.84
-65.5	272.6	272.1	270.85	267.27	265.24	262.2	259.65	258.93	260.24	263.54	268.47	271.94
-65.25	272.69	272.28	271.12	267.7	265.68	262.67	260.1	259.36	260.65	263.88	268.69	272.03
-65.0	272.79	272.45	271.38	268.19	266.22	263.29	260.65	259.89	261.12	264.26	268.92	272.11
-64.75	272.89	272.6	271.62	268.7	266.84	264.04	261.27	260.48	261.63	264.66	269.16	272.19
-64.5	272.96	272.74	271.82	269.07	267.27	264.52	261.74	260.92	262.03	264.99	269.36	272.25
-64.25	273.02	272.86	271.98	269.36	267.61	264.92	262.17	261.32	262.39	265.28	269.52	272.29
-64.0	273.13	273.03	272.2	269.77	268.14	265.57	262.93	261.91	262.91	265.66	269.75	272.37
-63.75	273.25	273.2	272.42	270.14	268.59	266.14	263.6	262.45	263.38	266.01	269.95	272.45
-63.5	273.35	273.36	272.6	270.43	268.94	266.57	264.1	262.9	263.77	266.31	270.12	272.52
-63.25	273.44	273.51	272.77	270.7	269.25	266.95	264.57	263.34	264.14	266.6	270.27	272.59
-63.0	273.55	273.65	272.95	271.0	269.59	267.39	265.12	263.92	264.58	266.93	270.44	272.67
-62.75	273.66	273.8	273.12	271.31	269.95	267.87	265.72	264.57	265.04	267.27	270.63	272.76
-62.5	273.75	273.92	273.27	271.54	270.21	268.18	266.1	264.99	265.38	267.54	270.77	272.84
-62.25	273.84	274.05	273.42	271.76	270.45	268.47	266.45	265.36	265.69	267.78	270.9	272.91
-62.0	273.95	274.17	273.57	272.01	270.74	268.84	266.93	265.91	266.16	268.13	271.07	273.0
-61.75	274.06	274.3	273.73	272.24	271.0	269.17	267.34	266.35	266.55	268.44	271.22	273.1
-61.5	274.16	274.42	273.87	272.44	271.23	269.45	267.67	266.7	266.87	268.69	271.36	273.2
-61.25	274.27	274.53	274.01	272.64	271.44	269.7	267.97	267.02	267.17	268.92	271.49	273.29
-61.0	274.39	274.65	274.15	272.84	271.66	270.0	268.35	267.42	267.53	269.21	271.65	273.39
-60.75	274.51	274.78	274.29	273.04	271.89	270.31	268.73	267.83	267.9	269.51	271.81	273.51
-60.5	274.62	274.9	274.43	273.22	272.09	270.56	269.02	268.13	268.18	269.74	271.95	273.61
-60.25	274.73	275.02	274.57	273.4	272.28	270.79	269.3	268.43	268.46	269.97	272.09	273.71
-60.0	274.85	275.14	274.7	273.58	272.48	271.05	269.63	268.78	268.78	270.22	272.25	273.82
-59.75	274.98	275.27	274.84	273.75	272.67	271.3	269.96	269.12	269.1	270.49	272.42	273.94
-59.5	275.09	275.4	274.98	273.92	272.84	271.51	270.22	269.41	269.37	270.72	272.57	274.06
-59.25	275.21	275.52	275.11	274.08	273.01	271.72	270.48	269.68	269.63	270.94	272.72	274.17
-59.0	275.34	275.65	275.25	274.24	273.18	271.94	270.79	270.01	269.94	271.2	272.89	274.3
-58.75	275.46	275.78	275.38	274.4	273.36	272.16	271.08	270.32	270.23	271.45	273.05	274.42
-58.5	275.58	275.91	275.52	274.56	273.52	272.35	271.31	270.58	270.48	271.65	273.19	274.54
-58.25	275.71	276.04	275.65	274.71	273.68	272.54	271.54	270.83	270.72	271.86	273.34	274.66
-58.0	275.83	276.17	275.78	274.86	273.84	272.73	271.79	271.11	270.98	272.08	273.49	274.78
-57.75	275.95	276.29	275.91	275.01	274.0	272.91	272.05	271.41	271.24	272.31	273.64	274.91
-57.5	276.08	276.42	276.04	275.16	274.16	273.08	272.25	271.65	271.46	272.5	273.78	275.04
-57.25	276.2	276.55	276.17	275.3	274.31	273.25	272.45	271.87	271.67	272.68	273.93	275.16
-57.0	276.33	276.67	276.3	275.45	274.47	273.43	272.67	272.14	271.93	272.9	274.08	275.31
-56.75	276.47	276.8	276.44	275.6	274.62	273.6	272.88	272.39	272.17	273.1	274.24	275.45
-56.5	276.6	276.94	276.58	275.75	274.78	273.77	273.08	272.6	272.39	273.29	274.4	275.59
-56.25	276.75	277.08	276.72	275.9	274.93	273.94	273.27	272.82	272.6	273.48	274.55	275.74
-56.0	276.89	277.21	276.87	276.05	275.09	274.11	273.46	273.03	272.83	273.68	274.71	275.89
-55.75	277.03	277.35	277.01	276.2	275.24	274.28	273.66	273.25	273.07	273.88	274.88	276.04
-55.5	277.17	277.49	277.15	276.34	275.39	274.43	273.83	273.44	273.27	274.05	275.03	276.18
-55.25	277.3	277.61	277.28	276.47	275.51	274.57	273.97	273.61	273.44	274.22	275.18	276.33
-55.0	277.43	277.73	277.39	276.58	275.62	274.68	274.1	273.77	273.63	274.38	275.32	276.46
-54.75	277.54	277.84	277.5	276.7	275.74	274.8	274.24	273.92	273.79	274.53	275.45	276.58
-54.5	277.68	277.98	277.64	276.84	275.89	274.96	274.4	274.1	273.98	274.69	275.6	276.72
-54.25	277.83	278.13	277.8	277.0	276.05	275.13	274.58	274.29	274.17	274.87	275.76	276.88
-54.0	277.97	278.28	277.95	277.15	276.21	275.29	274.75	274.47	274.35	275.04	275.92	277.03
-53.75	278.11	278.42	278.09	277.3	276.35	275.44	274.91	274.64	274.53	275.2	276.07	277.18
-53.5	278.25	278.56	278.23	277.44	276.5	275.59	275.07	274.81	274.7	275.35	276.22	277.32
-53.25	278.39	278.7	278.37	277.58	276.63	275.73	275.22	274.96	274.85	275.5	276.37	277.47
-53.0	278.53	278.84	278.51	277.72	276.77	275.87	275.36	275.12	275.02	275.66	276.52	277.61
-52.75	278.69	279.0	278.66	277.87	276.92	276.03	275.52	275.28	275.19	275.82	276.69	277.77
-52.5	278.83	279.14	278.8	278.01	277.06	276.16	275.65	275.42	275.34	275.98	276.84	277.92
-52.25	278.97	279.29	278.94	278.14	277.18	276.29	275.78	275.55	275.49	276.13	276.99	278.07
-52.0	279.13	279.44	279.09	278.29	277.32	276.42	275.92	275.7	275.65	276.29	277.15	278.22
-51.75	279.28	279.59	279.24	278.43	277.46	276.56	276.06	275.84	275.8	276.44	277.29	278.37
-51.5	279.42	279.74	279.38	278.57	277.6	276.69	276.19	275.98	275.94	276.57	277.43	278.51
