zonal-annual-mean cloud cover from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	Cloud Cover	Cloud Cover (Land)	Cloud Cover (Ocean)
37.225130890052355	56.9	44.6	66.48
38.16753926701571	57.74	44.48	68.34
39.10994764397907	58.36	44.96	69.39
40.0523560209424	59.09	45.08	71.29
40.994764397905755	59.93	45.02	73.65
41.93717277486911	60.98	46.01	74.38
42.87958115183247	61.74	47.15	75.53
43.8219895287958	62.34	46.63	77.84
44.764397905759154	63.01	47.65	79.7
45.70680628272251	63.95	49.17	81.42
46.64921465968587	65.31	51.23	82.65
47.591623036649224	66.74	53.92	83.94
48.53403141361255	68.15	56.57	84.6
49.47643979057591	69.61	58.78	84.76
50.41884816753927	70.97	61.33	85.27
51.36125654450262	72.51	64.03	85.83
52.30366492146598	73.82	66.2	85.62
53.24607329842931	74.78	67.84	85.86
54.188481675392666	75.73	69.33	84.96
55.13089005235602	76.57	70.84	83.73
56.07329842931938	77.58	72.39	83.97
57.01570680628271	78.4	73.99	83.92
57.958115183246065	78.55	74.42	83.17
58.90052356020942	78.48	74.57	83.37
59.84293193717278	78.37	74.68	83.62
60.785340314136135	78.42	75.4	84.64
61.727748691099464	78.77	76.12	84.88
62.67015706806282	78.8	76.52	84.45
63.61256544502618	78.71	76.89	83.61
64.55497382198953	78.86	77.48	83.42
65.49738219895289	78.96	77.86	82.99
66.43979057591622	79.09	77.78	83.6
67.38219895287958	79.18	77.9	83.42
68.32460732984293	78.98	77.69	82.34
69.26701570680629	78.43	76.21	82.66
70.20942408376962	78.46	75.35	81.89
71.15183246073298	78.53	75.03	81.34
72.09424083769633	78.5	75.12	80.88
73.03664921465969	78.41	74.77	80.37
73.97905759162305	78.13	73.58	79.46
74.92146596858638	77.84	73.62	79.33
75.86387434554973	77.34	71.88	79.14
76.80628272251309	76.49	66.35	79.33
77.74869109947645	75.59	64.25	78.49
78.6910994764398	75.24	64.4	78.86
79.63350785340313	75.27	65.44	78.61
80.57591623036649	75.63	63.77	79.23
81.51832460732984	75.89	64.06	78.74
82.4607329842932	76.08	66.18	77.81
83.40314136125653	76.86	66.26	77.2
84.34554973821989	77.49		77.49
85.28795811518324	77.8		77.8
86.2303664921466	78.0		78.0
87.17277486910996	78.1		78.1
88.11518324607329	78.14		78.14
89.05759162303664	78.56		78.56
90.0	78.0		78.0
