Selection of zonal-mean variables from ICE-6G_C 

References: 
Argus, D.F., Peltier, W.R., Drummond, R. and Moore, A.W.(2014) The Antarctica component of postglacial rebound model ICE-6G_C (VM5a) based upon GPS positioning, exposure age dating of ice thicknesses, and relative sea level histories. Geophys. J. Int., 198(1), 537-563, doi:10.1093/gji/ggu140. 
& 
Peltier, W.R., Argus, D.F. and Drummond, R. (2015) Space geodesy constrains ice-age terminal deglaciation: The global ICE-6G_C (VM5a) model. J. Geophys. Res. Solid Earth, 120, 450-487, doi:10.1002/2014JB011176. 

Latitude	lf_pd	lf_lgm	orog_pd	orog_lgm	if_pd	if_lgm
-89.5	1.0	1.0	2822.417236328125	2959.2216796875	1.0	1.0
-88.5	1.0	1.0	2888.31396484375	3034.688720703125	1.0	1.0
-87.5	1.0	1.0	2793.68896484375	2951.815185546875	1.0	1.0
-86.5	1.0	1.0	2606.572265625	2841.99755859375	1.0	1.0
-85.5	0.9838734436035156	1.0	2406.322509765625	2590.075439453125	0.9986667633056641	1.0
-84.5	0.935956802368164	1.0	2230.412109375	2412.401123046875	0.9991343688964843	1.0
-83.5	0.9	1.0	2162.617919921875	2318.354248046875	1.0	1.0
-82.5	0.8483796691894532	1.0	2155.54248046875	2224.44091796875	0.9995452117919922	1.0
-81.5	0.8022376251220703	1.0	2244.128662109375	2183.990478515625	1.0	1.0
-80.5	0.7475308227539063	1.0	2413.7666015625	2164.301025390625	1.0	1.0
-79.5	0.7596450805664062	1.0	2389.05615234375	2209.228759765625	0.9999999237060547	1.0
-78.5	0.7787808990478515	1.0	2380.972900390625	2234.35546875	0.9995912933349609	1.0
-77.5	0.7546296691894532	0.9793209838867187	2442.1650390625	2228.359375	0.99448486328125	1.0
-76.5	0.7207561492919922	0.8748457336425781	2491.616455078125	2369.885498046875	0.9976358795166016	0.9984136962890625
-75.5	0.7052469635009766	0.8586419677734375	2350.572265625	2309.582763671875	0.9986217498779297	0.9955817413330078
-74.5	0.6257715988159179	0.7767745971679687	2462.721923828125	2344.91259765625	0.9956192779541015	0.9905178070068359
-73.5	0.5834104919433594	0.7403549194335938	2430.79345703125	2252.587646484375	0.9913179016113282	0.9807444763183594
-72.5	0.5284722137451172	0.6658179473876953	2402.541015625	2182.77392578125	0.9965546417236328	0.9904689025878907
-71.5	0.5095679092407227	0.5964506149291993	2015.9307861328125	1949.3853759765625	0.995203857421875	0.9836737823486328
-70.5	0.4093364334106445	0.5274691390991211	1991.52001953125	1808.6490478515625	0.9921981811523437	0.9806600189208985
-69.5	0.3406635665893555	0.41759262084960935	1925.528076171875	1868.0079345703125	0.9872027587890625	0.9797633361816406
-68.5	0.2867283821105957	0.33726852416992187	1626.893798828125	1718.1953125	0.9829061889648437	0.9631122589111328
-67.5	0.21689815521240235	0.27422840118408204	1103.5364990234375	1282.4573974609375	0.9673110198974609	0.9433619689941406
-66.5	0.08981481552124024	0.18001543045043944	648.3457641601562	744.7838134765625	0.89316650390625	0.8935085296630859
-65.5	0.0	0.059104938507080075	349.86968994140625	394.4732360839844	0.7696542358398437	0.8370413208007812
-64.5	0.0	0.02415123224258423	302.3795471191406	638.9627685546875	0.6041666412353516	0.9140264892578125
-63.5	0.0	0.01790123462677002	314.2685241699219	652.0272216796875	0.44665409088134767	0.9122066497802734
-62.5	0.0	0.0	0.7317606806755066	199.93466186523438	0.41944442749023436	0.5476939392089843
-61.5	0.0	0.0		32.318119049072266		0.299013671875
-60.5	0.0	0.0	0.0	18.6182804107666	0.0	0.0
-59.5	0.0	0.0				
-58.5	0.0	0.0				
-57.5	0.0	0.0		0.0		0.0
-56.5	0.0	0.0		0.0		0.0
-55.5	0.0	0.0	0.0	451.29376220703125	0.0	0.45166015625
-54.5	0.012731481790542603	0.030941357612609865	432.62725830078125	642.8922729492188	0.0	0.4315773010253906
-53.5	0.010030863285064697	0.02052469253540039	121.18461608886719	792.2311401367188	0.0	0.7729740142822266
-52.5	0.011342592239379883	0.023688271045684814	68.7959213256836	521.8873291015625	0.0	0.5544697952270508
-51.5	0.015972222089767455	0.030787038803100585	178.8623046875	294.9355163574219	0.0	0.29594820022583007
-50.5	0.015817902088165282	0.030709877014160156	387.0146179199219	409.7862243652344	0.0	0.3008793830871582
-49.5	0.0212191367149353	0.03557099103927612	238.70726013183594	333.18817138671875	0.0	0.2359002113342285
-48.5	0.02245370388031006	0.036882717609405515	538.7216796875	502.857177734375	0.0	0.222280330657959
-47.5	0.023611111640930174	0.03672839641571045	498.7794189453125	534.9659423828125	0.0	0.2337184715270996
-46.5	0.024228396415710448	0.04429011821746826	249.35191345214844	319.82928466796875	0.0	0.1962350082397461
-45.5	0.029012346267700197	0.04899691581726074	496.7353515625	471.8772888183594	0.0	0.2357392692565918
-44.5	0.0314814829826355	0.05162036895751953	521.55517578125	481.81817626953125	0.0	0.22832586288452147
-43.5	0.03294753074645996	0.05570987701416016	573.0444946289062	531.965576171875	0.0	0.18325830459594727
-42.5	0.03796296119689942	0.05949074268341065	698.4502563476562	628.6761474609375	0.0	0.1680267333984375
-41.5	0.03973765850067139	0.06327160835266113	653.9359130859375	539.3925170898438	0.0	0.0885331916809082
-40.5	0.03649691343307495	0.07021605014801026	491.25262451171875	364.99896240234375	0.0	0.05604395389556885
-39.5	0.038966047763824466	0.07461419582366943	365.6742858886719	296.35205078125	0.0	0.052740440368652344
-38.5	0.057561726570129396	0.08132716178894044	341.27410888671875	336.0630798339844	0.0	0.030360529422760008
-37.5	0.07561728477478027	0.08881173133850098	416.82501220703125	447.0154724121094	0.0	0.0
