<<<<<<< HEAD
Multi-Model LGM-PI SAT reconstruction from PMIP3 & PMIP4 
PMIP3 MAT Global Mean: -4.71C 
PMIP3 MAP Global Mean: -0.29 
PMIP4 MAT Global Mean: -4.77C 
PMIP4 MAP Global Mean: -0.33 
Reference: Soured data from: Kageyama, M., Harrison, S. P., Kapsch, M.-L., Lofverstrom, M., Lora, J. M., Mikolajewicz, U., Sherriff-Tadano, S., Vadsaria, T., Abe-Ouchi, A., Bouttes, N., Chandan, D., Gregoire, L. J., Ivanovic, R. F., Izumi, K., LeGrande, A. N., Lhardy, F., Lohmann, G., Morozova, P. A., Ohgaito, R., Paul, A., Peltier, W. R., Poulsen, C. J., Quiquet, A., Roche, D. M., Shi, X., Tierney, J. E., Valdes, P. J., Volodin, E., and Zhu, J.: The PMIP4 Last Glacial Maximum experiments: preliminary results and comparison with the PMIP3 simulations, Clim. Past, 17, 1065–1089, https://doi.org/10.5194/cp-17-1065-2021, 2021. 

lat	pmip3_mat_mean	pmip3_map_mean	pmip4_mat_mean	pmip4_map_mean	pmip_mat_max	pmip_mat_min	pmip_map_max	pmip_map_min
-89.5	-12.890792583814346	-0.10509413591724748	-11.233306690682577	-0.05974797275797956	-8.35	-17.83	-0.013852054794520549	-0.1476834742057709
-88.5	-11.481736855270864	-0.1157808355149032	-10.12702070337815	-0.08563988779469392	-5.548417266187054	-17.83	-0.04155616438356165	-0.21355448599284216
-87.5	-11.365752314618167	-0.13437939362496767	-9.881417677298684	-0.11189304693438729	-6.145999999999996	-17.83	-0.06926027397260275	-0.23402250489236784
-86.5	-11.73337205948453	-0.16281368119274656	-9.969424869179331	-0.13621027253779758	-5.5459999999999985	-17.326	-0.07638356164383563	-0.2639454500978473
-85.5	-11.746259086230735	-0.17303564474908864	-9.364239037989408	-0.13505794720693123	-4.610601092896178	-16.822	-0.06128412805349711	-0.27412402152641874
-84.5	-11.647424918328175	-0.17578320944000037	-9.74993497306089	-0.14095128600904083	-5.189836065573772	-16.448	-0.08202919380193134	-0.2581046966731898
-83.5	-11.340856172346538	-0.171242307988886	-10.168370062466503	-0.13985027902259814	-5.769071038251367	-16.204	-0.08652602739726027	-0.23456996086105678
-82.5	-10.950375173383367	-0.16057567341567414	-10.3771945254719	-0.13699659859364674	-6.236000000000001	-15.96	-0.07576438356164383	-0.24148612952324844
-81.5	-10.42747212639192	-0.14203229532654602	-10.2697780520264	-0.13269102162709154	-5.5605714285714285	-14.636000000000001	-0.03751076320939334	-0.23371814329358429
-80.5	-9.822380866777166	-0.1272611092032139	-9.991643786057269	-0.13268768290116606	-4.791428571428567	-13.312000000000001	-0.015250880626223378	-0.21852153345816494
-79.5	-9.25203428370372	-0.12905895541303058	-9.656702873761262	-0.14363212482222887	-4.077142857142856	-13.049999999999999	-0.062276320939334724	-0.22037394345671807
-78.5	-8.783418130642671	-0.15329519608887698	-9.471998684344477	-0.1682813920588334	-3.5822857142857147	-12.79	-0.09186330361672798	-0.2486849315068493
-77.5	-8.398803180071656	-0.19525119888036466	-9.406907196895382	-0.2040249656312934	-3.546857142857139	-12.53	-0.13285114815824028	-0.3024197651663402
-76.5	-8.000667564928394	-0.24114667942531173	-9.186390993008631	-0.24726408494673605	-4.575428571428574	-12.298	-0.11951913597067063	-0.36697064579256333
-75.5	-7.522301977247307	-0.2628164224953074	-8.909646165955687	-0.282480592782043	-4.4825	-12.065999999999999	-0.10618712378310097	-0.41799358787525503
-74.5	-7.146363683974716	-0.2539859548668261	-8.632508691108042	-0.2943959345558839	-4.1925	-11.644	-0.10588451534593356	-0.4171154598825832
-73.5	-6.87421241628017	-0.23107450542837868	-8.431972455060773	-0.29531576351826583	-3.9775	-11.552010582010581	-0.08765068493150685	-0.4206379647749511
-72.5	-6.556228862839157	-0.20983489034756644	-8.280072928727908	-0.2899566239861071	-3.6466666666666665	-11.71	-0.07900684931506849	-0.42439870223503967
-71.5	-6.261278012338295	-0.2089605656366761	-8.161453449689185	-0.2955256873200496	-3.4575	-11.779473684210526	-0.08604514517101748	-0.4308054794520548
-70.5	-6.0851082368286455	-0.23207515975980442	-8.150520814591603	-0.3196155269980506	-2.92	-12.258677248677246	-0.06484931506849315	-0.4744876712328767
-69.5	-5.9860207286307086	-0.2643817150661222	-8.140270123867348	-0.3522284210069508	-2.3033333333333337	-12.983544973544971	-0.05043378995433791	-0.5423026744944551
-68.5	-5.8950474353728	-0.29287769494867705	-8.06082671620823	-0.3904794817117438	-1.8766666666666667	-13.41757894736842	-0.034196347031963475	-0.6126627253064167
-67.5	-5.816661866644435	-0.3118120362796723	-7.923024366812957	-0.4243108536388241	-1.415	-13.701789473684212	-0.054616438356164386	-0.6820354722422497
-66.5	-5.746652144434605	-0.3219145385611515	-7.759975043028386	-0.4494447548554088	-0.865	-13.99920634920635	-0.06510502283105023	-0.7522710734217587
-65.5	-5.5776195192530515	-0.3313297328610537	-7.612625754900224	-0.46533193723936656	-0.08499999999999985	-14.300793650793652	-0.009141552511415532	-0.8227791548887444
-64.5	-5.440600214645233	-0.3212770647372323	-7.514241588993034	-0.4700635672496084	0.075	-14.491105263157895	-0.016424657534246573	-0.845744772891132
-63.5	-5.250426097725676	-0.30281657813141466	-7.3330484552342865	-0.4694944858255091	-0.013333333333333336	-14.66478947368421	-0.024929150095743147	-0.8616063446286951
-62.5	-5.020117153375606	-0.30015544962566865	-7.106254667798429	-0.4619488684996786	-0.22666666666666666	-14.495502645502645	-0.014184023174743425	-0.8747371167645142
-61.5	-4.751057751062394	-0.32045709131104616	-6.852716472658094	-0.4668241701964004	-0.31000000000000005	-14.292947368421054	-0.04817808219178081	-0.8886604181687096
-60.5	-4.485309038448498	-0.33782076512165876	-6.577519093005931	-0.47407495638965125	-0.33333333333333337	-13.82978947368421	-0.07805479452054793	-0.9126690699351118
-59.5	-4.266121436501106	-0.3533861227740673	-6.3093940807496685	-0.4776053557847516	-0.30666666666666664	-13.323333333333332	-0.09175342465753425	-0.9326510110893672
-58.5	-4.059130264721663	-0.3668067991741166	-6.035201824907422	-0.4805119473117147	-0.27	-12.61962962962963	-0.08906849315068494	-0.9342890483438429
