zonal-monthly-mean surface air temperature from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	0	1	2	3	4	5	6	7	8	9	10	11
-44.76439790575916	284.48	284.9	284.64	283.84	282.87	282.06	281.33	281.17	281.34	281.85	282.68	283.69
-43.82198952879581	285.22	285.65	285.35	284.53	283.55	282.72	281.96	281.82	281.97	282.5	283.34	284.39
-42.87958115183246	285.93	286.37	286.04	285.19	284.2	283.35	282.57	282.44	282.57	283.1	283.97	285.06
-41.93717277486911	286.68	287.15	286.79	285.9	284.88	283.99	283.2	283.07	283.18	283.72	284.61	285.76
-40.99476439790576	287.48	287.98	287.62	286.67	285.61	284.66	283.86	283.71	283.82	284.37	285.28	286.49
-40.05235602094241	288.2	288.73	288.36	287.34	286.21	285.21	284.4	284.26	284.37	284.93	285.88	287.14
-39.109947643979055	288.91	289.45	289.06	287.96	286.77	285.71	284.89	284.74	284.88	285.45	286.44	287.76
-38.167539267015705	289.63	290.17	289.73	288.54	287.25	286.13	285.3	285.15	285.33	285.94	286.98	288.38
-37.225130890052355	290.47	290.97	290.48	289.18	287.81	286.61	285.77	285.61	285.82	286.48	287.58	289.08
-36.282722513089006	291.19	291.67	291.14	289.78	288.34	287.07	286.21	286.05	286.29	286.98	288.14	289.71
-35.340314136125656	291.88	292.34	291.77	290.34	288.82	287.5	286.63	286.47	286.72	287.46	288.67	290.31
-34.397905759162306	292.55	292.98	292.34	290.84	289.25	287.86	286.98	286.84	287.13	287.94	289.21	290.93
-33.455497382198956	293.2	293.58	292.87	291.28	289.59	288.12	287.25	287.15	287.51	288.39	289.75	291.54
-32.5130890052356	293.84	294.17	293.41	291.74	289.95	288.41	287.55	287.49	287.93	288.91	290.35	292.16
-31.57068062827225	294.48	294.77	293.95	292.2	290.32	288.71	287.85	287.86	288.38	289.46	290.97	292.81
-30.6282722513089	295.09	295.36	294.52	292.73	290.78	289.12	288.27	288.32	288.93	290.08	291.63	293.45
-29.68586387434555	295.52	295.79	294.95	293.17	291.18	289.5	288.64	288.73	289.38	290.58	292.15	293.93
-28.7434554973822	295.9	296.18	295.37	293.61	291.58	289.88	289.02	289.15	289.85	291.08	292.65	294.37
-27.80104712041885	296.21	296.51	295.74	294.03	291.98	290.26	289.39	289.56	290.31	291.57	293.11	294.77
-26.8586387434555	296.46	296.77	296.06	294.4	292.36	290.63	289.76	289.94	290.73	292.0	293.52	295.11
-25.916230366492144	296.73	297.06	296.41	294.8	292.78	291.06	290.17	290.38	291.2	292.49	293.97	295.48
-24.9738219895288	296.98	297.33	296.74	295.2	293.21	291.49	290.6	290.83	291.7	293.0	294.43	295.84
-24.031413612565444	297.23	297.57	297.06	295.6	293.64	291.93	291.04	291.3	292.22	293.51	294.88	296.2
-23.0890052356021	297.36	297.7	297.27	295.94	294.04	292.36	291.47	291.75	292.71	293.97	295.26	296.43
-22.146596858638745	297.45	297.78	297.45	296.23	294.39	292.74	291.87	292.16	293.14	294.37	295.57	296.61
-21.204188481675388	297.54	297.86	297.63	296.54	294.79	293.18	292.3	292.58	293.57	294.74	295.85	296.77
-20.261780104712045	297.58	297.91	297.77	296.82	295.16	293.6	292.73	293.01	293.98	295.08	296.09	296.89
-19.31937172774869	297.61	297.93	297.87	297.06	295.52	294.01	293.15	293.4	294.33	295.36	296.27	296.98
-18.376963350785346	297.68	297.99	298.0	297.32	295.89	294.43	293.58	293.82	294.71	295.69	296.52	297.11
-17.43455497382199	297.79	298.07	298.15	297.59	296.29	294.89	294.05	294.27	295.13	296.04	296.77	297.28
-16.492146596858646	297.89	298.18	298.3	297.85	296.65	295.31	294.47	294.65	295.46	296.31	296.97	297.41
-15.54973821989529	298.0	298.29	298.44	298.09	297.0	295.71	294.9	295.06	295.82	296.58	297.17	297.55
-14.607329842931932	298.06	298.32	298.49	298.21	297.23	295.98	295.18	295.28	295.99	296.72	297.26	297.63
-13.66492146596859	298.23	298.48	298.66	298.46	297.61	296.43	295.65	295.71	296.36	297.01	297.48	297.82
-12.722513089005233	298.41	298.65	298.83	298.69	297.93	296.83	296.07	296.1	296.73	297.33	297.74	298.04
-11.78010471204189	298.61	298.86	299.05	298.95	298.27	297.22	296.48	296.48	297.05	297.6	297.97	298.26
-10.837696335078533	298.74	298.99	299.18	299.11	298.51	297.51	296.79	296.78	297.31	297.79	298.12	298.4
-9.89528795811519	298.87	299.11	299.31	299.26	298.74	297.8	297.11	297.09	297.59	298.03	298.33	298.56
-8.952879581151834	298.95	299.19	299.41	299.38	298.96	298.08	297.41	297.38	297.82	298.21	298.47	298.66
-8.010471204188477	298.97	299.2	299.44	299.44	299.09	298.27	297.63	297.61	298.0	298.34	298.54	298.7
-7.068062827225134	299.0	299.23	299.48	299.51	299.23	298.47	297.86	297.85	298.18	298.48	298.63	298.75
-6.125654450261777	299.02	299.25	299.52	299.58	299.34	298.64	298.06	298.04	298.31	298.59	298.71	298.79
-5.1832460732984345	299.01	299.24	299.51	299.59	299.38	298.73	298.2	298.17	298.38	298.61	298.71	298.77
-4.240837696335078	298.93	299.17	299.41	299.49	299.3	298.71	298.21	298.18	298.34	298.53	298.61	298.68
-3.298429319371735	298.8	299.04	299.25	299.31	299.15	298.62	298.15	298.11	298.22	298.37	298.44	298.53
-2.356020942408378	298.75	298.97	299.14	299.18	299.03	298.57	298.15	298.1	298.16	298.27	298.33	298.45
-1.4136125654450211	298.7	298.91	299.05	299.08	298.96	298.57	298.17	298.11	298.13	298.2	298.27	298.4
-0.47120418848167844	298.67	298.87	299.01	299.04	298.94	298.59	298.22	298.12	298.12	298.18	298.25	298.4
0.47120418848167844	298.69	298.9	299.04	299.08	298.99	298.65	298.29	298.18	298.18	298.25	298.31	298.45
1.4136125654450211	298.79	299.01	299.18	299.21	299.13	298.8	298.44	298.34	298.36	298.44	298.49	298.6
2.356020942408378	298.93	299.17	299.38	299.42	299.32	298.97	298.64	298.55	298.6	298.69	298.73	298.78
3.2984293193717207	299.03	299.27	299.53	299.6	299.48	299.13	298.82	298.75	298.82	298.91	298.94	298.93
4.240837696335078	299.03	299.28	299.6	299.68	299.57	299.22	298.92	298.87	298.97	299.04	299.05	298.98
5.1832460732984345	299.09	299.31	299.67	299.78	299.66	299.3	299.02	299.01	299.12	299.17	299.18	299.06
6.125654450261777	299.08	299.26	299.65	299.84	299.77	299.41	299.12	299.13	299.25	299.27	299.3	299.14
7.068062827225134	298.97	299.14	299.58	299.87	299.84	299.51	299.2	299.22	299.33	299.35	299.39	299.14
8.010471204188477	298.82	299.01	299.51	299.92	299.93	299.63	299.32	299.34	299.48	299.52	299.52	299.1
8.952879581151834	298.65	298.84	299.38	299.94	300.02	299.73	299.42	299.45	299.61	299.67	299.57	299.01
9.895287958115176	298.39	298.57	299.18	299.94	300.16	299.91	299.58	299.59	299.77	299.8	299.58	298.86
10.837696335078533	298.11	298.29	298.92	299.86	300.25	300.08	299.78	299.8	299.99	299.92	299.57	298.68
11.78010471204189	297.82	298.01	298.69	299.73	300.28	300.2	299.91	299.95	300.14	300.02	299.54	298.47
12.722513089005233	297.49	297.71	298.45	299.6	300.27	300.26	299.99	300.04	300.23	300.05	299.4	298.17
13.66492146596859	297.06	297.3	298.1	299.37	300.17	300.26	300.06	300.09	300.23	299.96	299.14	297.77
14.607329842931932	296.55	296.82	297.69	299.09	300.01	300.21	300.11	300.13	300.21	299.82	298.81	297.28
15.54973821989529	296.08	296.39	297.33	298.83	299.87	300.2	300.24	300.3	300.26	299.69	298.5	296.83
16.492146596858632	295.58	295.93	296.97	298.59	299.72	300.14	300.29	300.39	300.23	299.52	298.15	296.36
17.43455497382199	295.08	295.47	296.57	298.31	299.54	300.06	300.3	300.47	300.2	299.33	297.79	295.87
18.376963350785346	294.54	294.97	296.15	298.02	299.37	299.98	300.27	300.46	300.1	299.07	297.37	295.36
19.31937172774869	293.97	294.44	295.68	297.64	299.09	299.82	300.13	300.33	299.91	298.75	296.92	294.81
20.261780104712045	293.45	293.95	295.27	297.33	298.89	299.74	300.07	300.28	299.81	298.51	296.54	294.32
