Selection of zonal-mean variables from ICE-6G_C 

References: 
Argus, D.F., Peltier, W.R., Drummond, R. and Moore, A.W.(2014) The Antarctica component of postglacial rebound model ICE-6G_C (VM5a) based upon GPS positioning, exposure age dating of ice thicknesses, and relative sea level histories. Geophys. J. Int., 198(1), 537-563, doi:10.1093/gji/ggu140. 
& 
Peltier, W.R., Argus, D.F. and Drummond, R. (2015) Space geodesy constrains ice-age terminal deglaciation: The global ICE-6G_C (VM5a) model. J. Geophys. Res. Solid Earth, 120, 450-487, doi:10.1002/2014JB011176. 

Latitude	lf_pd	lf_lgm	orog_pd	orog_lgm	if_pd	if_lgm
-89.5	1.0	1.0	2822.417236328125	2959.2216796875	1.0	1.0
-88.5	1.0	1.0	2888.31396484375	3034.688720703125	1.0	1.0
-87.5	1.0	1.0	2793.68896484375	2951.815185546875	1.0	1.0
-86.5	1.0	1.0	2606.572265625	2841.99755859375	1.0	1.0
-85.5	0.9838734436035156	1.0	2406.322509765625	2615.0146484375	0.9986667633056641	1.0
-84.5	0.935956802368164	1.0	2230.412109375	2525.48779296875	0.9991343688964843	1.0
-83.5	0.9	1.0	2162.617919921875	2504.237548828125	1.0	1.0
-82.5	0.8483796691894532	1.0	2155.54248046875	2514.100341796875	0.9995452117919922	0.9999999237060547
-81.5	0.8022376251220703	1.0	2244.128662109375	2557.224853515625	1.0	1.0
-80.5	0.7475308227539063	1.0	2413.7666015625	2654.1318359375	1.0	1.0
-79.5	0.7596450805664062	1.0	2389.05615234375	2672.472900390625	0.9999999237060547	0.9999999237060547
-78.5	0.7787808990478515	1.0	2380.972900390625	2655.901611328125	0.9995912933349609	0.9999999237060547
-77.5	0.7546296691894532	0.9793209838867187	2442.1650390625	2723.50244140625	0.99448486328125	0.9999999237060547
-76.5	0.7207561492919922	0.8748457336425781	2491.616455078125	2735.183837890625	0.9976358795166016	0.9999166870117188
-75.5	0.7052469635009766	0.8586419677734375	2350.572265625	2673.327392578125	0.9986217498779297	0.998680191040039
-74.5	0.6257715988159179	0.7767745971679687	2462.721923828125	2750.3408203125	0.9956192779541015	0.9963686370849609
-73.5	0.5834104919433594	0.7403549194335938	2430.79345703125	2684.904296875	0.9913179016113282	0.9988822937011719
-72.5	0.5284722137451172	0.6658179473876953	2402.541015625	2587.125244140625	0.9965546417236328	0.9996085357666016
-71.5	0.5095679092407227	0.5964506149291993	2015.9307861328125	2215.706298828125	0.995203857421875	0.9986013793945312
-70.5	0.4093364334106445	0.5274691390991211	1991.52001953125	2229.252197265625	0.9921981811523437	0.9947756195068359
-69.5	0.3406635665893555	0.41759262084960935	1925.528076171875	2201.74658203125	0.9872027587890625	0.9958144378662109
-68.5	0.2867283821105957	0.33726852416992187	1626.893798828125	1957.9561767578125	0.9829061889648437	0.9866456604003906
-67.5	0.21689815521240235	0.27422840118408204	1103.5364990234375	1497.81494140625	0.9673110198974609	0.9719654083251953
-66.5	0.08981481552124024	0.18001543045043944	648.3457641601562	1044.5150146484375	0.89316650390625	0.9358831787109375
-65.5	0.0	0.059104938507080075	349.86968994140625	692.6650390625	0.7696542358398437	0.8176100158691406
-64.5	0.0	0.02415123224258423	302.3795471191406	788.0833740234375	0.6041666412353516	0.9900904846191406
-63.5	0.0	0.01790123462677002	314.2685241699219	698.1392822265625	0.44665409088134767	0.9791667175292968
-62.5	0.0	0.0	0.7317606806755066	349.4741516113281	0.41944442749023436	0.6298611068725586
-61.5	0.0	0.0				
-60.5	0.0	0.0	0.0	0.0	0.0	0.0
-59.5	0.0	0.0				
-58.5	0.0	0.0				
-57.5	0.0	0.0				
-56.5	0.0	0.0				
-55.5	0.0	0.0	0.0	627.7100830078125	0.0	0.4973958587646484
-54.5	0.012731481790542603	0.030941357612609865	432.62725830078125	929.85009765625	0.0	0.66919189453125
-53.5	0.010030863285064697	0.02052469253540039	121.18461608886719	893.408447265625	0.0	0.8452992248535156
-52.5	0.011342592239379883	0.023688271045684814	68.7959213256836	686.0834350585938	0.0	0.6452191925048828
-51.5	0.015972222089767455	0.030787038803100585	178.8623046875	386.86273193359375	0.0	0.3126006507873535
-50.5	0.015817902088165282	0.030709877014160156	387.0146179199219	704.8707885742188	0.0	0.44430892944335937
-49.5	0.0212191367149353	0.03557099103927612	238.70726013183594	436.52081298828125	0.0	0.2872727203369141
-48.5	0.02245370388031006	0.036882717609405515	538.7216796875	739.5924682617188	0.0	0.2710481262207031
-47.5	0.023611111640930174	0.03672839641571045	498.7794189453125	705.4041137695312	0.0	0.23325162887573242
-46.5	0.024228396415710448	0.04429011821746826	249.35191345214844	485.85821533203125	0.0	0.26882076263427734
-45.5	0.029012346267700197	0.04899691581726074	496.7353515625	694.91455078125	0.0	0.30806737899780273
-44.5	0.0314814829826355	0.05162036895751953	521.55517578125	692.6548461914062	0.0	0.28347972869873045
-43.5	0.03294753074645996	0.05570987701416016	573.0444946289062	731.5106201171875	0.0	0.2031453323364258
-42.5	0.03796296119689942	0.05949074268341065	698.4502563476562	867.7640380859375	0.0	0.20051380157470702
-41.5	0.03973765850067139	0.06327160835266113	653.9359130859375	810.75927734375	0.0	0.12721142768859864
-40.5	0.03649691343307495	0.07021605014801026	491.25262451171875	659.5261840820312	0.0	0.10782239913940429
-39.5	0.038966047763824466	0.07461419582366943	365.6742858886719	524.6870727539062	0.0	0.10099011421203613
-38.5	0.057561726570129396	0.08132716178894044	341.27410888671875	432.9029846191406	0.0	0.04289544105529785
-37.5	0.07561728477478027	0.08881173133850098	416.82501220703125	506.317138671875	0.0	0.0
